0	0.0285357
1	0.0965682
2	0.171271
3	0.246167
4	0.314412
5	0.378205
6	0.445147
7	0.492735
8	0.519958
9	0.519581
10	0.51385
11	0.502162
12	0.503536
13	0.512868
14	0.525642
15	0.545549
16	0.577356
17	0.596554
18	0.629551
19	0.663845
20	0.692617
21	0.726057
22	0.756519
23	0.786844
24	0.831731
25	0.880792
26	0.927705
27	0.972168
28	0.994364
29	1
30	0.994543
31	0.980518
32	0.970138
33	0.968759
34	0.956099
35	0.935664
36	0.915177
37	0.894685
38	0.87314
39	0.864851
40	0.856628
41	0.858204
42	0.859644
43	0.856023
44	0.852431
45	0.839365
46	0.823381
47	0.807737
48	0.780278
49	0.767877
50	0.751605
51	0.720355
52	0.683157
53	0.633483
54	0.573173
55	0.51935
56	0.45701
57	0.401123
58	0.339313
59	0.27162
60	0.206769
61	0.138269
62	0.0806599
63	0.0254815
