0	0	2.64005	6.76971	157.324	6.58935	28.4574	10.3952	0	0	0	0	0	0	0	0	
0	1	171.513	6.42498	42.5955	5.73893	0	0	0	0	0	0	0	0	0	0	
0	2	60.3376	6.00616	0	0	0	0	0	0	0	0	0	0	0	0	
0	3	74.488	5.31807	0	0	0	0	0	0	0	0	0	0	0	0	
0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	5	71.9514	5.84889	0	0	0	0	0	0	0	0	0	0	0	0	
0	6	122.161	5.67748	153.465	5.83357	0	0	0	0	0	0	0	0	0	0	
0	7	147.208	5.57566	0	0	0	0	0	0	0	0	0	0	0	0	
0	8	112.687	5.89026	0	0	0	0	0	0	0	0	0	0	0	0	
0	9	126.315	4.82341	0	0	0	0	0	0	0	0	0	0	0	0	
0	10	70.5679	5.36776	0	0	0	0	0	0	0	0	0	0	0	0	
0	11	55.2826	5.71844	0	0	0	0	0	0	0	0	0	0	0	0	
0	12	111.07	5.18934	0	0	0	0	0	0	0	0	0	0	0	0	
0	13	93.96	5.11399	0	0	0	0	0	0	0	0	0	0	0	0	
0	14	112.744	5.40965	0	0	0	0	0	0	0	0	0	0	0	0	
0	15	121.478	5.46733	0	0	0	0	0	0	0	0	0	0	0	0	
1	0	146.026	5.05625	17.5045	5.25913	0	0	0	0	0	0	0	0	0	0	
1	1	160.266	5.28059	32.0944	5.65265	1.74306	6.93061	0	0	0	0	0	0	0	0	
1	2	49.3188	5.03614	0	0	0	0	0	0	0	0	0	0	0	0	
1	3	63.6943	5.0361	0	0	0	0	0	0	0	0	0	0	0	0	
1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	5	61.4152	6.04833	0	0	0	0	0	0	0	0	0	0	0	0	
1	6	110.451	5.1154	142.49	5.52177	0	0	0	0	0	0	0	0	0	0	
1	7	135.871	5.59422	0	0	0	0	0	0	0	0	0	0	0	0	
1	8	100.764	5.46692	0	0	0	0	0	0	0	0	0	0	0	0	
1	9	114.883	4.66352	0	0	0	0	0	0	0	0	0	0	0	0	
1	10	59.2041	5.03785	0	0	0	0	0	0	0	0	0	0	0	0	
1	11	43.6982	5.5076	0	0	0	0	0	0	0	0	0	0	0	0	
1	12	99.5996	4.77741	0	0	0	0	0	0	0	0	0	0	0	0	
1	13	82.5755	4.80371	0	0	0	0	0	0	0	0	0	0	0	0	
1	14	101.458	5.38007	0	0	0	0	0	0	0	0	0	0	0	0	
1	15	110.43	5.24579	0	0	0	0	0	0	0	0	0	0	0	0	
2	0	196.722	5.39688	68.4985	5.20203	0	0	0	0	0	0	0	0	0	0	
2	1	210.8	5.21618	82.7829	5.55544	0	0	0	0	0	0	0	0	0	0	
2	2	99.8186	4.90656	0	0	0	0	0	0	0	0	0	0	0	0	
2	3	114.379	-4.7596	0	0	0	0	0	0	0	0	0	0	0	0	
2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
