0	0	0	0	0	0	0	0	0	1000
0	0	1	-387.937	51.6001	-482.091	105.737	544.516	13.7011	0.0378327
0	0	2	-346.485	47.6488	-462.428	106.597	487.844	12.6336	0.00381768
0	0	3	-377.946	169.379	-498.583	312.836	493.06	33.1963	1.81E-07
0	0	4	-300.014	21.0392	-494.622	73.9879	446.243	9.06163	0.00407295
0	0	5	-258.045	34.399	-531.609	135.722	446.644	12.503	0.00114471
0	0	6	-440.427	27.5869	-406.528	41.7341	560.743	6.69505	0.209854
0	0	7	-406.401	28.3907	-409.226	44.8889	538.303	7.14149	0.206176
0	0	8	-334.419	19.7088	-491.576	66.9127	457.111	8.87436	0.151138
0	0	9	-379.825	44.9772	-442.782	74.6677	539.685	8.76314	0.00282627
0	0	10	-383.167	54.2266	-478.646	110.61	474.476	13.8975	0.00372449
0	0	11	0	0	0	0	0	0	1000
0	0	12	-342.453	29.71	-433.846	65.1318	467.11	7.99786	0.114316
0	0	13	-288.174	22.4951	-488.849	79.2431	468.645	9.04688	0.151597
0	0	14	-346.654	18.5738	-442.8	58.8228	462.337	10.6956	0.00323392
0	0	15	-372.355	46.7901	-435.42	74.2169	550.074	8.63235	8.05E-06
0	0	16	-348.081	29.1979	-393.212	47.3659	475.73	6.41428	0.137873
0	0	17	-353.805	52.3405	-431.416	81.6337	461.599	9.21571	0.00148708
0	0	18	-365.465	30.1911	-415.25	51.9923	510.624	7.56723	0.129098
0	0	19	-353.633	27.9299	-380.259	41.3606	488.875	5.45526	0.328787
0	0	20	0	0	0	0	0	0	1000
0	0	21	-327.775	26.3273	-395.031	47.8402	459.441	5.77629	0.206265
0	0	22	-372.181	25.1869	-413.911	45.9037	500.322	6.31915	0.183206
0	0	23	-270.027	24.2795	-441.801	61.2057	436.705	6.75314	0.529825
0	0	24	-334.862	49.4243	-430.856	84.7195	495.542	9.55844	0.019072
0	0	25	-351.832	30.3335	-364.381	41.6367	479.201	5.68425	0.448949
0	0	26	-394.467	26.0703	-394.639	40.3008	523.999	6.01099	0.38035
0	0	27	-331.003	28.0575	-387.569	47.2815	454.282	5.99909	0.31322
0	0	28	-350.284	28.538	-393.236	47.8379	484.122	6.68338	0.199072
0	0	29	-388.795	34.139	-374.397	44.3606	533.731	6.10679	0.23522
0	0	30	-252.288	27.9459	-508.253	107.294	447.107	10.3033	0.00610358
0	0	31	-320.119	27.9622	-386.215	46.6952	465.178	6.30273	0.347282
0	0	32	-310.986	28.0158	-404.117	51.7541	464.644	5.76327	1.82201
0	0	33	-385.801	29.8014	-373.35	42.4536	526.558	6.16235	1.80366
0	0	34	-219.887	29.9678	-604.232	216.067	462.666	17.5376	2.16019
0	0	35	-316.25	26.8048	-358.532	43.5486	468.568	6.25334	2.75975
0	0	36	-272.728	25.0897	-408.243	62.6677	441.745	7.75357	1.87975
0	0	37	-331.254	46.3909	-457.625	96.8975	551.199	10.5591	2.15986
0	0	38	-329.345	29.3056	-396.389	50.1782	492.626	6.12607	1.59573
0	0	39	-319.168	48.2182	-522.075	150.295	526.941	16.6176	0.898614
0	0	40	-329.811	30.3238	-389.191	51.8279	495.885	6.40112	1.52129
0	0	41	-418.841	22.296	-384.113	36.764	553.453	5.83176	2.77198
0	0	42	-297.812	49.5494	-455.958	110.163	503.895	10.9768	1.76959
0	0	43	-302.738	24.5491	-470.86	72.8041	468.443	8.83373	1.04167
0	0	44	-283.957	39.7894	-481.548	113.982	461.254	10.7918	1.51409
0	0	45	-422.209	103.644	-230.399	88.3393	410.848	26.0757	0.0568713
0	0	46	-630.307	244.454	-182.685	84.0117	440.381	28.3652	7.84E-07
0	0	47	-281.266	42.7012	-508.708	144.019	439.58	14.2941	0.790616
0	0	48	-267.93	187.038	-1330.04	2994.14	561.504	290.707	5.11E-08
0	0	49	-374.188	31.6829	-411.543	59.5848	487.92	8.85638	1.21128
0	0	50	-391.288	107.853	-223.022	90.9495	406.699	23.967	0.00797637
0	0	51	-379.726	26.4938	-410.541	49.8362	511.967	6.65262	1.03302
0	0	52	-533.194	494.35	-195.406	150.155	444.245	35.7256	2.33E-07
0	0	53	-394.172	32.1586	-441.695	61.1617	541.889	8.97872	1.51459
0	0	54	-341.627	49.5348	-518.18	140.539	511.135	16.0227	0.81186
0	0	55	-347.522	26.8465	-442.256	61.4965	473.471	7.55498	0.914262
0	0	56	-418.58	28.8006	-427.41	56.9078	540.068	9.21802	1.4991
0	0	57	-254.684	31.8985	-387.239	66.3901	405.391	6.74003	1.42789
0	0	58	-580.896	42.2186	-497.849	71.5438	519.007	14.3262	68.1445
0	0	59	-295.646	42.2579	-563.02	177.895	497.095	18.359	0.951549
0	0	60	-325.917	29.6521	-388.393	51.2096	448.939	6.15803	1.73287
0	0	61	-470.647	30.8383	-396.771	47.7683	597.067	9.77075	2.09841
0	0	62	-366.707	23.7419	-443.347	63.9604	494.801	9.59925	0.796973
0	0	63	-380.068	35.8319	-376.821	52.4724	513.145	6.94565	1.01294
0	1	0	-573.085	52.1121	-338.445	28.1385	462.105	5.37484	116.83
0	1	1	-281.457	21.447	-450.672	57.8918	440.117	6.61606	0.339911
0	1	2	-400.772	48.574	-417.948	65.1971	587.893	8.34347	0.00205024
0	1	3	-337.603	38.8336	-455.798	78.2608	527.86	8.82886	0.0148202
0	1	4	-398.758	23.6364	-403.144	36.8029	545.588	6.17157	0.346414
0	1	5	-356.166	24.3437	-375.736	36.9639	478.514	5.06173	0.429826
0	1	6	-372.023	26.0787	-373.895	35.0585	512.101	5.19293	0.342757
