0	0.0217062
1	0.0691749
2	0.122673
3	0.178145
4	0.228508
5	0.282335
6	0.328488
7	0.379487
8	0.389243
9	0.386722
10	0.380692
11	0.374159
12	0.38602
13	0.398562
14	0.42086
15	0.439365
16	0.470127
17	0.491416
18	0.518801
19	0.546822
20	0.585652
21	0.619417
22	0.676862
23	0.705957
24	0.757087
25	0.822732
26	0.864566
27	0.921178
28	0.962485
29	0.979565
30	1
31	1
32	0.995374
33	0.953781
34	0.917429
35	0.880725
36	0.826175
37	0.779627
38	0.757679
39	0.719441
40	0.69324
41	0.696463
42	0.70405
43	0.701967
44	0.684843
45	0.670767
46	0.64325
47	0.630402
48	0.605845
49	0.594488
50	0.572321
51	0.549278
52	0.516324
53	0.472889
54	0.428709
55	0.382841
56	0.338025
57	0.295643
58	0.249117
59	0.199215
60	0.149006
61	0.101669
62	0.0579052
63	0.0183078
